Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
7 -13.473344 -32.872811 174.314547 -12.626678 25.579372 187.292039 25.179645 -31.603611 175.66638 20.873353 26.503387 188.025177 -15.653779 -0.655233 184.478736 3.250764 59.667242 184.289908 25.408709 -0.876424 185.784137 0 0 0 0 -0.002529 0 -0.000037 -0.682515 -0.296898 -134.586158 133.992362 -164.714289 163.349259 -105.702024 119.422691 -146.266206 132.465775 -72.555171 -71.831196 -17.853063 -18.174434 86.321152 -89.562749 0
41 -13.460578 -32.875887 174.264884 -12.61577 25.576231 187.277329 25.197271 -31.771958 175.591958 20.885409 26.503965 188.04028 -15.649076 -0.646231 184.449089 3.288977 59.697205 184.34279 25.413096 -0.880335 185.795534 0 0 0 0 -0.002337 0 -0.000035 -0.680297 -0.345621 -134.629013 133.93777 -164.699924 163.339331 -105.742846 119.212224 -146.297445 133.00842 -72.527782 -71.774945 -17.882991 -18.229889 86.307104 -89.594309 0
77 -13.446428 -32.877421 174.217641 -12.606369 25.574011 187.265933 25.235477 -31.759748 175.537837 20.895976 26.504204 188.052976 -15.644793 -0.638684 184.423125 3.322801 59.721416 184.392667 25.417155 -0.883868 185.804689 0 0 0 0 -0.002142 0 -0.000025 -0.680474 -0.38821 -134.666798 133.890377 -164.688103 163.327155 -105.775276 119.024596 -146.333518 133.488398 -72.501884 -71.721905 -17.910946 -18.282328 86.295405 -89.619904 0
106 -13.434729 -32.88238 174.173534 -12.598117 25.572142 187.256992 25.27588 -31.725341 175.49082 20.904836 26.503175 188.062572 -15.640958 -0.63512 184.400427 3.350762 59.741342 184.440625 25.420842 -0.887156 185.811985 0 0 0 0 -0.002441 0 -0.000013 -0.694478 -0.423098 -134.696455 133.850259 -164.672348 163.283391 -105.794559 118.86342 -146.377953 134.032468 -72.472517 -71.607291 -17.943032 -18.395692 86.280402 -89.68009 0
142 -13.426413 -32.887369 174.134362 -12.590541 25.570452 187.2504 25.317502 -31.674534 175.4475 20.912443 26.501906 188.070393 -15.637384 -0.632809 184.380364 3.374283 59.7574 184.483933 25.423872 -0.89027 185.816789 0 0 0 0 -0.002064 0 -0.000018 -0.709191 -0.449885 -134.721043 133.821272 -164.658123 163.23974 -105.806812 118.741297 -146.437575 134.534571 -72.442614 -71.495425 -17.974909 -18.506466 86.268741 -89.744596 0
174 -13.420443 -32.893333 174.100614 -12.585557 25.568461 187.24643 25.360101 -31.613746 175.406826 20.918964 26.500145 188.076377 -15.634233 -0.632193 184.363163 3.389399 59.766442 184.519231 25.4269 -0.894177 185.819554 0 0 0 0 -0.001944 0 -0.000008 -0.725611 -0.472666 -134.742526 133.797195 -164.649709 163.198487 -105.812873 118.628864 -146.508027 135.027454 -72.415711 -71.384658 -18.002728 -18.616357 86.262145 -89.812381 0
210 -13.418193 -32.899505 174.071133 -12.582132 25.565961 187.244999 25.382718 -31.332293 175.370121 20.923969 26.497978 188.080585 -15.63143 -0.6324 184.348226 3.400385 59.774411 184.552336 25.430211 -0.900417 185.819304 0 0 0 0 -0.001747 0 -0.000006 -0.745558 -0.488072 -134.754878 133.778734 -164.648876 163.15776 -105.797179 118.534471 -146.607578 135.498447 -72.392521 -71.275399 -18.026226 -18.725001 86.258639 -89.882006 0
242 -13.418673 -32.905889 174.043787 -12.57913 25.563315 187.245584 25.393978 -31.23281 175.322449 20.927848 26.495931 188.083541 -15.629013 -0.63332 184.335506 3.40742 59.780407 184.58277 25.4336 -0.907594 185.816801 0 0 0 0 -0.004547 0 0.000086 -0.828373 -0.497579 -134.762323 133.767164 -164.656118 162.999372 -105.766373 118.456203 -146.734438 135.798158 -72.372137 -71.049442 -18.045748 -18.950762 86.260682 -89.915429 0
274 -13.422327 -32.91339 174.017859 -12.576596 25.560391 187.248826 25.370574 -30.931124 175.266767 20.929411 26.492229 188.084173 -15.62696 -0.635174 184.32492 3.40782 59.780031 184.614587 25.436807 -0.917297 185.810494 0 0 0 0 -0.002924 0 -0.00003 -0.881468 -0.504031 -134.768539 133.760477 -164.665423 162.902486 -105.732902 118.389399 -146.871169 136.038028 -72.351293 -70.911313 -18.064862 -19.088828 86.266623 -89.929255 0
310 -13.428356 -32.921878 173.993373 -12.57443 25.557661 187.254941 25.338483 -30.665943 175.214911 20.92889 26.485455 188.082004 -15.625231 -0.637728 184.316075 3.406175 59.773535 184.646058 25.439763 -0.92778 185.801888 0 0 0 0 -0.00615 0 0.000163 -1.007493 -0.503706 -134.77315 133.765738 -164.678161 162.663175 -105.69294 118.342927 -147.027315 136.044455 -72.329306 -70.643889 -18.084055 -19.356508 86.277337 -89.88071 0
