Time LHx LHy LHz LSx LSy LSz RHx RHy RHz RSx RSy RSz LEx LEy LEz CSx CSy CSz REx REy REz v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v13 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24
31 -61.891669 -29.549181 241.277194 -62.59715 31.174922 259.85589 -21.294934 -29.67363 245.305157 -27.51154 31.520855 266.522431 -69.078845 5.639788 254.597497 -44.373924 65.23903 264.697695 -21.987712 3.111724 262.774515 0 0 0 0 0.000696 0 -0.000001 1.833695 -4.083335 -144.173666 136.006997 -153.691923 157.359313 -147.744639 118.663097 -109.133832 152.664659 -69.656861 -61.954558 -23.263471 -28.069376 79.195833 88.932967 0
71 -61.88398 -29.560506 241.267037 -62.571245 31.186897 259.860778 -21.282367 -29.668722 245.318365 -27.500042 31.515685 266.528773 -69.080752 5.643616 254.595804 -44.336048 65.240204 264.696479 -21.979064 3.115845 262.783837 0 0 0 0 0.000667 0 -0.000002 1.860554 -4.054061 -144.16457 136.056447 -153.632433 157.353541 -147.979107 118.754708 -108.916579 152.645061 -69.651213 -61.954817 -23.273653 -28.069177 79.185766 88.931638 0
96 -61.877471 -29.570144 241.258717 -62.547159 31.197196 259.864378 -21.267848 -29.663119 245.332241 -27.486262 31.508985 266.533422 -69.082433 5.64706 254.593873 -44.300482 65.237689 264.690161 -21.970201 3.120177 262.792373 0 0 0 0 0.000575 0 -0.000001 1.890807 -4.035901 -144.158358 136.086555 -153.576563 157.358176 -148.205282 118.801387 -108.705702 152.659231 -69.648066 -61.959596 -23.281191 -28.064676 79.17649 88.925526 0
131 -61.872077 -29.579166 241.251516 -62.514657 31.212699 259.866405 -21.252826 -29.657143 245.346165 -27.469784 31.501606 266.537285 -69.083977 5.65026 254.591703 -44.268417 65.234965 264.683437 -21.960297 3.12517 262.797952 0 0 0 0 0.0005 0 0 1.920189 -4.023159 -144.154986 136.108667 -153.525259 157.365638 -148.417868 118.826719 -108.505052 152.687373 -69.646628 -61.966032 -23.286525 -28.058645 79.168537 88.916698 0
166 -61.867785 -29.58681 241.245461 -62.479234 31.230122 259.866428 -21.231693 -29.649752 245.361185 -27.453509 31.495434 266.539359 -69.085425 5.653292 254.589438 -44.237122 65.235215 264.675713 -21.944006 3.133976 262.803626 0 0 0 0 0.000515 0 0.000001 1.960696 -4.020199 -144.16462 136.124221 -153.460519 157.381912 -148.745614 118.824674 -108.224115 152.730838 -69.646526 -61.976761 -23.289906 -28.048289 79.162067 88.908665 0
201 -61.864865 -29.59356 241.241002 -62.445354 31.247842 259.864831 -21.209535 -29.644763 245.379066 -27.437493 31.489691 266.540837 -69.08673 5.65609 254.587197 -44.206777 65.237594 264.669514 -21.926557 3.141428 262.808084 0 0 0 0 0.000518 0 0.000001 2.000685 -4.016471 -144.180822 136.147881 -153.390975 157.392345 -149.129484 118.877052 -107.907657 152.718331 -69.647249 -61.990589 -23.291921 -28.034816 79.156828 88.901105 0
235 -61.8626 -29.599237 241.23714 -62.412858 31.261835 259.859681 -21.187964 -29.640284 245.396018 -27.420962 31.48421 266.541934 -69.087911 5.658728 254.584932 -44.179764 65.240163 264.663863 -21.909046 3.144732 262.81023 0 0 0 0 0.000565 0 0.000001 2.041181 -4.009238 -144.192978 136.174502 -153.325822 157.408185 -149.506823 118.935229 -107.597277 152.693049 -69.649442 -62.010731 -23.291716 -28.01503 79.15336 88.89372 0
266 -61.860758 -29.604188 241.233945 -62.383389 31.27535 259.854126 -21.167208 -29.636252 245.412636 -27.404782 31.478903 266.542554 -69.088894 5.660978 254.582453 -44.155413 65.242594 264.660335 -21.892177 3.147461 262.810946 0 0 0 0 0.00047 0 0.000001 2.083025 -4.011385 -144.216153 136.193383 -153.260382 157.426432 -149.908063 118.969908 -107.276737 152.675348 -69.651794 -62.030119 -23.290982 -27.995957 79.150653 88.887217 0
302 -61.859757 -29.612353 241.231847 -62.357438 31.287771 259.848595 -21.14756 -29.633075 245.426989 -27.385694 31.473911 266.542244 -69.089508 5.663327 254.579282 -44.133049 65.245062 264.655781 -21.873073 3.149201 262.810373 0 0 0 0 0.000449 0 0.000001 2.122968 -4.013349 -144.234492 136.207795 -153.201774 157.44771 -150.274566 118.992292 -106.983879 152.66176 -69.654748 -62.050916 -23.28944 -27.975467 79.148474 88.880962 0
333 -61.859381 -29.621401 241.230392 -62.333798 31.297979 259.841013 -21.12973 -29.630134 245.440006 -27.366835 31.468594 266.54036 -69.08958 5.666066 254.575539 -44.114885 65.24353 264.650249 -21.853717 3.148915 262.806487 0 0 0 0 0.000341 0 0 2.155905 -4.017431 -144.24835 136.213488 -153.15467 157.466481 -150.590997 119.000962 -106.730073 152.646014 -69.66176 -62.070239 -23.282999 -27.956207 79.148763 88.879871 0
